source,type,target,weight
213,undirected,4524,1
213,undirected,4742,1
213,undirected,4930,1
214,undirected,526,1
214,undirected,718,1
214,undirected,1461,1
214,undirected,1666,1
214,undirected,2169,1
214,undirected,2207,1
214,undirected,3423,1
214,undirected,3668,1
214,undirected,3823,1
214,undirected,3931,1
214,undirected,4203,1
214,undirected,4363,1
214,undirected,4558,1
214,undirected,4753,1
214,undirected,5133,1
217,undirected,583,1
217,undirected,734,8
217,undirected,1334,1
217,undirected,2671,1
217,undirected,2902,1
217,undirected,3808,1
217,undirected,4621,1
218,undirected,1874,1
219,undirected,3207,1
220,undirected,278,1
220,undirected,2106,1
221,undirected,3041,1
222,undirected,736,1
222,undirected,1053,1
222,undirected,2557,1
222,undirected,3813,1
222,undirected,5129,1
223,undirected,388,1
223,undirected,3480,1
224,undirected,647,1
224,undirected,1558,1
224,undirected,1881,1
225,undirected,1938,1
225,undirected,4931,2
226,undirected,3155,2
226,undirected,5185,2
227,undirected,1694,1
227,undirected,2842,1
227,undirected,3290,1
227,undirected,5423,1
227,undirected,5431,1
228,undirected,229,1
228,undirected,313,1
228,undirected,314,1
228,undirected,1136,1
